beta,k,likelihood
0.2489795918367347,0.1026530612244898,1.1660091354769589e-13
0.2489795918367347,0.10469387755102041,4.208199609820995e-14
0.2489795918367347,0.10673469387755102,1.4091532165365983e-14
0.2489795918367347,0.10877551020408165,4.365966042834255e-15
0.2489795918367347,0.11081632653061226,1.2479273697056796e-15
0.2489795918367347,0.11285714285714286,3.280517474877916e-16
0.2489795918367347,0.11489795918367349,7.905405722099007e-17
0.2489795918367347,0.1169387755102041,1.7403768616456297e-17
0.2489795918367347,0.1189795918367347,3.4876148406940224e-18
0.2489795918367347,0.12102040816326531,6.33759971277108e-19
0.2489795918367347,0.12306122448979592,1.040133703077171e-19
0.2489795918367347,0.12510204081632653,1.535275796681044e-20
0.2489795918367347,0.12714285714285717,2.029009609289599e-21
0.2489795918367347,0.12918367346938775,2.3897246506419063e-22
0.2489795918367347,0.1312244897959184,2.495950827595711e-23
0.2489795918367347,0.133265306122449,2.299821164477711e-24
0.2489795918367347,0.1353061224489796,1.8592966301044884e-25
0.2489795918367347,0.1373469387755102,1.3112985908950024e-26
0.2489795918367347,0.13938775510204082,8.01904926400653e-28
0.2489795918367347,0.14142857142857146,4.2251682061525926e-29
0.2489795918367347,0.14346938775510204,1.9052429689400516e-30
0.2489795918367347,0.14551020408163268,7.300851542479711e-32
0.2489795918367347,0.14755102040816329,2.3598411806541796e-33
0.2489795918367347,0.1495918367346939,6.383759484524267e-35
0.2489795918367347,0.1516326530612245,1.4334177909125016e-36
0.2489795918367347,0.1536734693877551,2.648496642291321e-38
0.2489795918367347,0.15571428571428572,3.990101702046844e-40
0.2489795918367347,0.15775510204081633,4.8544725853892895e-42
0.2489795918367347,0.15979591836734697,4.721349755718234e-44
0.2489795918367347,0.16183673469387755,3.6317263912942e-46
0.2489795918367347,0.16387755102040819,2.184695783660223e-48
0.2489795918367347,0.1659183673469388,1.0156525608216586e-50
0.2489795918367347,0.1679591836734694,3.603661268763147e-53
0.2489795918367347,0.17,9.630808446071667e-56
0.2653061224489796,0.07,4.624188454681166e-09
0.2653061224489796,0.07204081632653062,4.571902492487692e-09
